29, Private, 137063, HS-grad, 9, Never-married, Sales, Unmarried, White, Male, 0, 0, 38, United-States, <=50K
50, Private, 166220, Assoc-acdm, 12, Married-civ-spouse, Sales, Wife, White, Female, 3942, 0, 40, United-States, <=50K
60, Private, 121319, 7th-8th, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 3137, 0, 40, Poland, <=50K
50, Self-emp-inc, 119099, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 99, United-States, >50K
28, Private, 109001, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
42, Private, 247695, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 45, United-States, >50K
34, Self-emp-not-inc, 56460, HS-grad, 9, Married-civ-spouse, Farming-fishing, Wife, White, Female, 0, 2179, 12, United-States, <=50K
20, Private, 170091, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 35, United-States, <=50K
40, Private, 283724, 9th, 5, Never-married, Craft-repair, Other-relative, Black, Male, 0, 0, 49, United-States, <=50K
44, Self-emp-not-inc, 38876, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K
61, Private, 238913, Assoc-voc, 11, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
36, Private, 247321, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
47, Private, 267205, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, ?, >50K
46, Private, 273629, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
52, Private, 198863, Prof-school, 15, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 2559, 60, United-States, >50K
46, Private, 337050, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 45, United-States, >50K
20, Private, 224238, 12th, 8, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
35, Private, 206951, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
48, Self-emp-inc, 254291, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 50, United-States, >50K
34, Private, 173495, HS-grad, 9, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 145284, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 129629, Assoc-voc, 11, Never-married, Tech-support, Other-relative, White, Female, 0, 0, 36, United-States, <=50K
57, Self-emp-inc, 161662, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 60, United-States, >50K
42, Self-emp-not-inc, 215219, 11th, 7, Separated, Other-service, Unmarried, White, Female, 0, 0, 30, United-States, <=50K
23, Private, 234663, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, <=50K
34, ?, 346762, 11th, 7, Divorced, ?, Own-child, White, Male, 0, 0, 84, United-States, <=50K
25, Private, 236977, HS-grad, 9, Separated, Craft-repair, Own-child, White, Male, 0, 0, 40, Mexico, <=50K
18, ?, 163085, HS-grad, 9, Separated, ?, Own-child, White, Male, 0, 0, 20, United-States, <=50K
47, Private, 358465, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
41, Private, 171351, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
59, Private, 126677, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
36, Local-gov, 110791, Assoc-acdm, 12, Separated, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
54, Federal-gov, 75235, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 5178, 0, 40, United-States, >50K
21, ?, 107801, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 3, United-States, <=50K
20, Private, 51816, HS-grad, 9, Never-married, Protective-serv, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
27, Private, 191129, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
53, ?, 123011, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, >50K
26, Private, 300290, 11th, 7, Divorced, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
49, State-gov, 185800, Masters, 14, Divorced, Prof-specialty, Unmarried, Black, Female, 7430, 0, 40, United-States, >50K
43, Private, 151089, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
22, State-gov, 22966, Some-college, 10, Married-spouse-absent, Tech-support, Unmarried, White, Male, 0, 0, 20, United-States, <=50K
37, Private, 176900, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 99, United-States, >50K
22, ?, 154235, Some-college, 10, Married-civ-spouse, ?, Wife, White, Female, 3781, 0, 35, United-States, <=50K
20, Private, 54012, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 190115, Assoc-acdm, 12, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 109199, 5th-6th, 3, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, Mexico, <=50K
20, State-gov, 223515, Assoc-acdm, 12, Never-married, Other-service, Own-child, White, Male, 0, 1719, 20, United-States, <=50K
35, Private, 82552, HS-grad, 9, Never-married, Craft-repair, Unmarried, White, Male, 0, 0, 35, United-States, <=50K
49, Private, 147032, HS-grad, 9, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female, 0, 0, 8, Philippines, <=50K
37, Self-emp-not-inc, 255454, Some-college, 10, Never-married, Prof-specialty, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
40, Private, 200479, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 54929, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
20, Private, 24896, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 20, United-States, <=50K
42, State-gov, 455553, HS-grad, 9, Never-married, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
17, Private, 193830, 11th, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K
24, Private, 112854, Some-college, 10, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 16, United-States, <=50K
41, Federal-gov, 34178, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
43, Local-gov, 106982, Bachelors, 13, Separated, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
20, Private, 172232, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 48, United-States, <=50K
31, Private, 164870, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Mexico, <=50K
25, Private, 288519, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
33, Self-emp-not-inc, 223046, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
34, Self-emp-not-inc, 77209, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 1902, 60, United-States, >50K
37, Self-emp-not-inc, 272090, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 20, United-States, <=50K
37, Private, 172722, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
39, Private, 202027, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, >50K
54, Private, 174102, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
42, Private, 445940, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Mexico, <=50K
52, Private, 123011, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
38, Private, 423616, Assoc-voc, 11, Married-civ-spouse, Tech-support, Wife, White, Female, 0, 0, 36, United-States, >50K
34, Private, 193565, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
21, Private, 50341, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
43, Self-emp-not-inc, 180985, Bachelors, 13, Separated, Craft-repair, Unmarried, White, Male, 0, 0, 35, United-States, <=50K
43, State-gov, 78765, Some-college, 10, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
