58, Self-emp-not-inc, 165315, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 35, United-States, >50K
37, Federal-gov, 32528, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, England, >50K
30, Private, 181651, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, <=50K
50, Private, 20795, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, >50K
28, Private, 173673, 5th-6th, 3, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, Mexico, <=50K
34, Private, 118551, Bachelors, 13, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
23, Private, 142766, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 1055, 0, 20, United-States, <=50K
37, Private, 80638, Bachelors, 13, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, 0, 0, 30, China, <=50K
52, Private, 204447, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 4386, 0, 40, United-States, >50K
35, Local-gov, 177305, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 2377, 40, United-States, <=50K
44, Private, 29762, HS-grad, 9, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 68, United-States, <=50K
37, Private, 321943, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
36, Private, 659504, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 45, United-States, >50K
61, ?, 226989, HS-grad, 9, Divorced, ?, Not-in-family, White, Male, 4865, 0, 40, United-States, <=50K
41, Private, 152529, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
40, Private, 346847, Assoc-voc, 11, Separated, Prof-specialty, Other-relative, White, Female, 0, 0, 40, United-States, <=50K
43, ?, 35523, Assoc-acdm, 12, Divorced, ?, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
30, Private, 143766, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
28, Private, 239539, HS-grad, 9, Married-spouse-absent, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, <=50K
33, Local-gov, 289716, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
49, Private, 193366, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
18, Private, 35065, HS-grad, 9, Never-married, Transport-moving, Not-in-family, Black, Male, 0, 0, 35, United-States, <=50K
33, Federal-gov, 29617, Some-college, 10, Divorced, Other-service, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
44, Self-emp-not-inc, 120837, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 66, United-States, <=50K
